Journey ID,Area,Required actions,Primary proof owner,Required,Status,Evidence
LIB-04,Library,Citadel create charter wards council blueprint vault and isolation,exact browser-action evidence plus route browser,Yes,Complete exploratory browser pass; final-SHA pending,The corrected complete campaign exercised the registered Citadel create charter ward council blueprint vault and isolation actions and passed 120/120 with zero failed degraded skipped or not-configured rows at artifacts/verification/2026-07-30T14-52-57-590Z-usability-aeec8486.
OPS-01,Ops,boards activity sessions costs schedules notifications approvals quality,runtime/auth/durable lanes plus route browser,Yes,Focused exact browser pass; final gate pending,The isolated Ops bundles passed 17/17 exact steps including boards activity costs schedules notifications approvals quality diagnostics and recovery entry; auth matrix runtime truth and durable recovery retain interim artifacts
OPS-02,Ops,runtime diagnostics backup recovery restart logs and managed process ownership,runtime truth plus backup desktop and launcher-ownership lanes,Yes,Exact isolated source recovery proof passed; packaged ownership pending,Runtime restart/resume passed at artifacts/verification/2026-07-30T01-53-00-789Z-runtime-truth-fdd182b2 and backup create verify offline restore restart byte-compare passed at artifacts/verification/2026-07-30T01-53-51-099Z-backup-roundtrip-a4651e0d; isolated desktop and GC-USAB-019 source ownership proof passed while exact packaged restart remains pending
SET-01,Settings,general onboarding budget provider OAuth model and access,auth matrix plus provider and route lanes,Yes,Focused product/persistence contracts pass; complete browser journey pending,GC-USAB-011 GC-USAB-016 and GC-USAB-033; auth matrix and live-provider artifacts. GC-HARNESS-040 requires density sound and toast values to persist through reload and preserves contextual General action-list labels; exact Settings bundle remains pending
SET-02,Settings,permissions trust runtime local AI workspaces integrations channels MCP tools,runtime agentic mesh and route lanes,Yes,Focused exact Chromium journey passed; complete campaign and final gate pending,"The fresh full campaign artifacts/verification/2026-07-30T06-38-36-529Z-usability-41f0376a passed 33/34 scenarios before GC-USAB-062 exposed fail-open MCP discovery. After the exact discovery/cache repair and GC-HARNESS-051's explicit proxy auth grant, artifacts/verification/2026-07-30T07-15-29-021Z-usability-49d240dc passed all 14/14 permission trust runtime Local AI add-on integration channel MCP and tool-policy steps with artifact redaction green. Neither failed full artifact is converted into a complete campaign pass."
EXP-01,Experimental,all six routes visibly labeled and fail safely,verify:usability surface regression,Yes,Focused pass; final gate pending,GC-USAB-012; artifacts/verification/2026-07-29T19-21-12-655Z-surface-regression-818d64d0
COMPAT-01,Compatibility,all 20 legacy query-input redirects plus 3 direct compatibility paths: /cowork /code and /settings/safety,verify:surface:regression,Yes,Complete exploratory and focused surface passes; final-SHA pending,The focused surface artifact artifacts/verification/2026-07-30T11-53-09-426Z-surface-regression-634db5a6 passed the three direct aliases and all 20 frozen legacy-query redirects. The corrected complete campaign repeated all registered compatibility coverage inside its 120/120 pass at artifacts/verification/2026-07-30T14-52-57-590Z-usability-aeec8486.
ADV-01,Cross-cutting,empty populated long malformed stale conflicting and degraded data,focused tests plus full journey retest,Yes,Local degraded repairs passed focused tests; complete retest pending,GC-USAB-021 adds exact Retry/status/mutation-denial semantics after the hardened surface discovery; complete stable-stack surface and usability reruns remain pending
RESP-01,Responsive,desktop mobile portrait landscape tablet keyboard touch themes zoom reduced motion,visual surface and accessibility lanes,Yes,Interim focused passes; packaged/browser completion pending,Visual 408/408 predates latest changes; updated touch inventory and raw fractional measurements passed 7/7 at artifacts/verification/2026-07-29T21-56-44-192Z-accessibility-smoke-954f8c94; final surface/visual/accessibility gates remain pending
DEPLOY-01,Deployment,SQLite Postgres parity and exact Windows x64 candidate lifecycle,install desktop parity managed-launcher ownership protocol activation and packaged smoke,Yes,Postgres exploratory boundary passed; final clean-SHA and Windows lifecycle pending,"The isolated PostgreSQL suite passed migration parity, storage 48/48, admission/heartbeat 7/7, Gateway auth 73/73, Gateway memory 3/3, and the 9/9 same-database restart/no-replay/next-admission journey at artifacts/verification/2026-07-30T15-50-14-675Z-usability-postgres-recovery-3a1a4dae. GC-USAB-019 has local/source ownership proof. GC-USAB-063 and GC-HARNESS-052/053 pass Windows activation, packaging, workflow, and independent source review, but final clean-SHA Compose parity, cold/warm protocol UI, and the complete candidate lifecycle are not yet proven."
