Observation ID,Area,Type,Status,Observation,Evidence,Decision or follow-up
GC-ENV-002,Desktop host,Ambient environment,Contained for source verification; still an adversarial packaged condition,"Unrelated GoatCitadel Gateway/UI processes were available on the default 8787/5173 endpoints during source and installed-launcher checks","artifacts/verification/2026-07-29T20-01-29-536Z-desktop-e404d1c8; GC-HARNESS-005; GC-USAB-019","Do not stop or claim the foreign processes. The verifier must reserve lane-owned ports/root and perform zero ambient requests under GC-HARNESS-005, while the product default managed launcher must reject those listeners without owned live PIDs under GC-USAB-019"
GC-PROOF-001,Durable delegation,Focused proof strengthening,Passed locally; final agentic gate pending,"The delegation regression now persists grants in a concrete repository, reconstructs that repository, and asserts both the inherited scoped browser grant and submit_work_result rather than accepting only an in-memory service projection","apps/gateway/src/services/gateway-service.delegation.test.ts; GC-USAB-003","Retain this as the minimum persisted-grant contract and rerun the named final-SHA agentic proof before handoff"
GC-HARNESS-008,Accessibility touch targets,Harness precision correction,Corrected locally; focused tests and interim lane passed,"The touch-target inventory previously omitted anchors and disclosure summaries and rounded DOM rectangle dimensions before comparison, allowing a fractional sub-24-pixel target to appear compliant","scripts/verification/lib/scenarios/accessibility-smoke-lane.mjs; scripts/verification/lib/scenarios/accessibility-smoke-lane.test.mjs; artifacts/verification/2026-07-29T21-56-44-192Z-accessibility-smoke-954f8c94","Include buttons links inputs selects textareas role=button and summary controls; preserve raw subpixel dimensions; measure associated labels without hiding standalone undersized controls; final-SHA accessibility rerun remains required"
GC-PROOF-002,Migration parity,Focused proof strengthening,Passed locally; final parity/AI rescan pending,"The AST migration-registry insertion regression now covers a valid array whose existing last element has no trailing comma in addition to indentation CRLF comments owner provenance nested decoys and append-only checks","scripts/verify-storage-migration-parity.test.mjs; GC-USAB-009","Retain the independent literal migration-head tripwire and rerun the named parity lane plus authenticated AI queue rescan at the final SHA"
GC-HARNESS-009,Library and Citadel Chromium action registry,Harness selector and ordering defect,Corrected locally; focused contract tests passed; exact browser rerun pending,"The first exact-action registry used non-existent stale or ambiguous controls and fixture values across Agents Journey Curator Communications Artifacts Mason Wards Council Blueprint and Vault; several mutations were also ordered before required form fields or confirmations","scripts/verification/lib/scenarios/usability-browser-action-registry.mjs; current Mission Control Next route source","Use current accessible labels and seeded fixture truth, perform prerequisite fields and destructive confirmations in operator order, retain browser failure screenshots logs video and trace, and do not convert selector failures into unit or API passes. The usability registry contract passed 18/18 locally; exact Chromium evidence is still pending"
GC-HARNESS-010,Capability candidate and proposal evidence,Harness false-green risk,Corrected locally; focused seed and contract tests passed; exact browser rerun pending,"The capability journey could silently substitute a proposal-only candidate ID when the isolated fixture contained no real candidate, allowing proposal linkage to pass without a canonical candidate row or candidate detail","apps/gateway/src/routes/dev-verification.ts; scripts/verification/lib/scenarios/fixture-seeding.mjs; scripts/verification/lib/scenarios/usability-browser-action-lane.mjs","Seed one deterministic real inactive candidate with hashed managed artifacts through the existing development verification seed, return its exact IDs, require canonical candidate detail plus inspectable membership, reject absence or callable leakage, and link the proposal only to that candidate. Gateway route tests passed 21/21 and focused node contracts passed 27/27; exact Chromium proof remains pending"
GC-HARNESS-011,Chat Projects and workspace Chromium registry,Harness selector lifecycle and evidence defect,Corrected locally; focused contracts passed; exact browser rerun pending,"The registry used Planning instead of Plan, skipped the exact approval and user-input fixture sessions, targeted ambiguous Detach Archive Restore and filter controls, stopped project conflict proof before canonical persistence, and did not execute the complete project/workspace archive filter restore lifecycle","scripts/verification/lib/scenarios/usability-browser-action-registry.mjs; scripts/verification/lib/scenarios/usability-browser-action-lane.mjs; current Mission Control Next source","Use the exact fixture sessions and visible labels, one blocker probe only after both resolutions, child-run and workspace-specific accessible controls, explicit archive confirmation and archived/active filters, two-save conflict retry, and canonical API reads for the persisted project draft and restored workspace. Focused node contracts passed 27/27; exact Chromium evidence remains required"
GC-HARNESS-015,Settings Chromium action registry,Harness selector and behavior defect,Corrected locally; focused contracts passed; exact browser rerun pending,"Both Settings bundles initially used speculative controls; the second Chromium rerun then reached Providers but tried to click the OpenAI Codex ChatGPT login disclosure title even though the isolated missing-provider state exposes Add ChatGPT setup as the supported operator entry","artifacts/verification/2026-07-30T00-34-17-216Z-usability-browser-actions-45aef55c/diagnostics/usability-browser-actions-settings-core-auth-provider.json; apps/mission-control-next/src/features/native-routes/settings/sections/ProvidersSection.tsx; scripts/verification/lib/scenarios/usability-browser-action-registry.mjs","Bind every step to current visible control names and exact operator ordering. The OAuth row must execute Add ChatGPT setup then observe its success notice and Not started state before the isolated invalid-credential probe; a focused contract rejects the stale disclosure-title action. Browser-action node contracts passed 15/15; exact Chromium evidence remains required."
GC-HARNESS-016,Settings deterministic fixture isolation,Harness coverage and isolation defect,Corrected locally; focused contracts passed; exact browser rerun pending,"The Settings bundles had no deterministic active device, integration, channel, or MCP records, and invalid provider credentials were not backed by an explicit rejecting provider fixture","scripts/verification/lib/scenarios/usability-browser-action-lane.mjs; scripts/verification/lib/scenarios/deterministic-llm-stub.mjs","Seed an approved device principal, loopback webhook diagnostics, a loopback Apple Notes read bridge, an ntfy dry-run draft, and local/remote MCP records in the isolated root; require the loopback provider authorization header and reject a missing credential without dispatch. No personal runtime data or real external destination is used. Focused node contracts passed 16/16; exact Chromium evidence remains required"
GC-HARNESS-017,Settings MCP lifecycle evidence,Harness incomplete-lifecycle defect,Corrected and superseded; focused contracts and exact browser retest passed,"The MCP server-tool-grant lifecycle row changed only the server label and could pass without connecting, discovering tools, checking health, disconnecting, creating a governed grant, or revoking it","scripts/verification/lib/scenarios/usability-browser-action-registry.mjs; scripts/verification/lib/scenarios/usability-browser-action-lane.mjs; GC-HARNESS-050; artifacts/verification/2026-07-30T06-37-27-969Z-usability-ab8b39b1","Launch the shipped Gateway-backed stdio MCP proxy against the isolated Gateway, require successful discovery of the exported goatcitadel.context.list tool, run health and disconnect, follow the visible Tools owner handoff, select mcp.invoke, then create and explicitly revoke a visible mcp.* deny grant. The exact Settings artifact passed all 14/14 steps."
GC-HARNESS-018,Settings checkbox action stability,Harness asynchronous-locator defect,Corrected locally; focused contracts passed; exact browser rerun pending,"The check-pattern operator counted the first checkbox locator immediately even though every editable and text operator waits for a visible target; a transient route rerender was therefore reported as a missing accessible label","artifacts/verification/2026-07-29T23-39-29-137Z-usability-browser-actions-a358d9b6; scripts/verification/lib/scenarios/usability-browser-action-lane.mjs","Resolve checkbox patterns through the shared first-visible locator deadline, while retaining GC-USAB-033 as the product defect so the harness wait cannot convert workspace-loading churn into a product pass. Focused browser-action contracts passed 10/10; exact Chromium evidence remains required"
GC-HARNESS-020,Library agent tool profile,Harness assertion defect,Corrected locally; focused contracts passed; exact browser rerun pending,"The agent PATCH succeeded and the page showed fs.read and fs.list in the persisted Default tools input, but assert-text searched rendered page text and could not observe an editable control value","artifacts/verification/2026-07-30T00-02-40-187Z-usability-browser-actions-ce0cfc7f/screenshots/usability-browser-actions-library-catalog-memory-failure.png; scripts/verification/lib/scenarios/usability-browser-action-lane.mjs; scripts/verification/lib/scenarios/usability-browser-action-registry.mjs","Retain the exact UI assert-value operation, then resolve the unique usability-browser-agent role from the canonical agent list, GET its exact agentId detail, and require defaultTools to equal fs.read and fs.list. The focused browser-action and usability contract pack passed 33/33; exact Chromium proof remains pending."
GC-HARNESS-021,Library Prompt Pack export,Harness action-order defect,Corrected locally; exact browser retest passed,"Run selected Run all Auto-score and Save review completed, but Export report remained inside the closed Advanced quality ops disclosure and the registry never opened its owning panel","artifacts/verification/2026-07-30T00-02-40-187Z-usability-browser-actions-ce0cfc7f/screenshots/usability-browser-actions-library-content-failure.png; apps/mission-control-next/src/features/prompt-packs/AdvancedQualityOpsPanel.tsx; scripts/verification/lib/scenarios/usability-browser-action-registry.mjs; artifacts/verification/2026-07-30T01-50-42-427Z-usability-browser-actions-b001a433","Open the visible Advanced quality ops disclosure before selecting Export report and retain the complete author run review export sequence. The exact replacement journey visibly exported the authored pack report and the Library bundle passed 8/8."
GC-HARNESS-022,Citadel Vault deterministic isolation,Harness environment-boundary defect,Corrected locally; focused contracts passed; exact browser lifecycle rerun pending,"The Vault correctly failed closed with 503 because every isolated verification stack disables the generic OS secret store; the required lifecycle therefore could not store list reveal and delete without either touching the operator keychain or adding a hermetic fixture","artifacts/verification/2026-07-30T00-02-40-187Z-usability-browser-actions-ce0cfc7f/diagnostics/usability-browser-actions-citadel-failure-browser.json; apps/gateway/src/services/gateway-route-composition-runtime.ts; apps/gateway/src/services/gateway-route-composition-runtime.test.ts; scripts/verification/lib/scenarios/usability-browser-action-lane.mjs","Inject a deterministic 32-byte Vault key only when both private dev-verification mode and the explicit verifier env are enabled; ignore it outside verification mode; never enable the generic keychain or persist/log the fixture key. Composition-level tests prove enabled verifier-key precedence without keychain access, defensive Buffer copies, disabled-mode keychain fallback, and unavailable-keychain fail-closed behavior; the focused pack passed 8/8 and Gateway typecheck passed. Do not call Vault passed until the exact Chromium lifecycle reruns."
GC-HARNESS-012,Ops durable recovery fixture,Harness request and canonical-identity defect,Corrected locally; exact focused browser retest passed,"The initial Ops fixture pause sent an unsupported actorId body and later paused the chat-turn run rather than the approval lifecycle's canonical approval-wait run, allowing setup failure or proof against the wrong durable identity","artifacts/verification/2026-07-29T22-46-29-143Z-usability-browser-actions-7d0dbb90; artifacts/verification/2026-07-29T23-09-03-477Z-usability-browser-actions-a59198c2; scripts/verification/lib/scenarios/usability-browser-action-lane.mjs","Send the strict empty pause body after route hydration, retain approvalWaitRunId and approvalId, require runtime lifecycle to select that exact run, and fail unless the post-confirmation canonical read leaves paused state. The final focused artifact passed the approval-resume row and all 17/17 Ops steps."
GC-HARNESS-013,Browser action selector dispatch,Harness operation and editable-target defect,Corrected locally; exact focused browser retest passed,"Pattern helpers emitted exact click/check operation kinds with only namePattern, producing undefined names; fuzzy editable lookup also selected the visible Schedules rail button before the exact Schedule input","artifacts/verification/2026-07-29T22-46-29-143Z-usability-browser-actions-7d0dbb90; artifacts/verification/2026-07-29T23-16-15-812Z-usability-browser-actions-699e59ea; scripts/verification/lib/scenarios/usability-browser-action-registry.mjs; scripts/verification/lib/scenarios/usability-browser-action-lane.mjs","Preserve click-pattern/check-pattern kinds in the registry, inventory-test every namePattern operation, prioritize exact labels, and accept only actual editable elements for fill/select. Scoped harness contracts passed 7/7 and the final focused artifact passed all 17/17 Ops steps with zero skips."
GC-HARNESS-024,Settings integration diagnostics capability,Harness configuration defect,Corrected locally; focused contract test passed; exact browser rerun pending,"The required Settings integration diagnostics journey started its isolated Gateway with connector diagnostics disabled, so it could never reach the asserted Diagnostics refreshed state even with a valid deterministic loopback connection","artifacts/verification/2026-07-30T00-02-40-187Z-usability-browser-actions-ce0cfc7f; scripts/verification/lib/scenarios/usability-browser-action-lane.mjs","Enable connectorDiagnosticsV1Enabled only in the isolated action runtime that explicitly exercises it, retain the product disabled-state truth under GC-USAB-044, and require the focused harness contract plus exact Chromium rerun. The harness contract passed 11/11 locally."
GC-HARNESS-019,Chat edit and branch desktop actions,Harness viewport and action-order defect,Corrected locally; focused contracts passed; exact browser rerun pending,"The 1440px desktop rerun searched for Actions even though the summary is intentionally display none at desktop widths; focusing or hovering the owning turn reveals the inline Edit and Fork controls while the Actions summary is a mobile affordance","artifacts/verification/2026-07-30T00-34-17-216Z-usability-browser-actions-45aef55c/screenshots/usability-browser-actions-chat-lifecycle-failure.png; packages/mission-control-shared/src/components/chat/ChatThreadPrimitives.tsx; apps/mission-control-next/src/features/threaded-surface/styles/composer.css; scripts/verification/lib/scenarios/usability-browser-action-registry.mjs","Focus the exact Open turn: Stop this deterministic usability turn. control then invoke the visible exact Edit and resend action; never target the mobile-only Actions summary in the desktop pack. The focused storage and browser-action pack passed 34/34; exact Chromium proof remains pending."
GC-HARNESS-023,Chat approval and user-input continuation,Harness fixture and evidence-timing defect,Corrected locally; focused contracts passed; exact browser rerun pending,"The approval action was followed by an immediate canonical read before asynchronous resolution settled, while the user-input fixture was trace-only and returned 409 because it had no durable admission","artifacts/verification/2026-07-30T00-02-40-187Z-usability-browser-actions-ce0cfc7f; apps/gateway/src/routes/dev-verification.ts; apps/gateway/src/services/dev-verification-route-service.ts; scripts/verification/lib/scenarios/usability-browser-action-lane.mjs; GC-USAB-045","Seed exact admitted-v2 payload admission binding runtime-authority seal checkpoint and waiting-generation settlement for both blockers, then poll both exact canonical projections. The ordinary admitted-v2 wake product defect discovered by this repair is tracked separately as GC-USAB-045. Focused Gateway tests passed 127/127, browser-action contracts passed 33/33, and Gateway typecheck passed; exact Chromium proof remains pending."
GC-HARNESS-025,Citadel Vault Reveal and Hide selectors,Harness selector defect,Corrected locally; focused contract passed; exact browser lifecycle rerun pending,"Vault storage returned 201 and canonical listing returned 200 with an enabled visible Reveal button, but the registry searched for the literal fuzzy patterns Reveal-space and Hide-space; those patterns cannot match the exact accessible names Reveal and Hide","artifacts/verification/2026-07-30T00-34-17-216Z-usability-browser-actions-45aef55c/diagnostics/usability-browser-actions-citadel.json; artifacts/verification/2026-07-30T00-34-17-216Z-usability-browser-actions-45aef55c/screenshots/usability-browser-actions-citadel-failure.png; scripts/verification/lib/scenarios/usability-browser-action-registry.mjs; scripts/verification/lib/scenarios/usability-browser-action-lane.test.mjs","Use exact Reveal and Hide button selectors, retain the secret-name-specific Delete selector, and assert both exact operations in the registry contract. The focused browser-action contract passed 15/15; exact Chromium store/list/reveal/hide/delete proof remains pending."
GC-HARNESS-026,Prompt Pack run sequencing,Harness evidence-order defect,Corrected locally; exact browser retest passed,"Run selected opened its HTTP request and correctly disabled Run all while TEST-01 remained in progress; the registry immediately attempted Run all and relied on the click timeout as an implicit lifecycle wait, obscuring whether the first run ever reached a terminal state","artifacts/verification/2026-07-30T00-34-17-216Z-usability-browser-actions-45aef55c/diagnostics/usability-browser-actions-library-content.json; artifacts/verification/2026-07-30T00-34-17-216Z-usability-browser-actions-45aef55c/screenshots/usability-browser-actions-library-content-failure.png; artifacts/verification/2026-07-30T00-34-17-216Z-usability-browser-actions-45aef55c/diagnostics/usability-browser-actions-gateway.stderr.log; scripts/verification/lib/scenarios/usability-browser-action-registry.mjs; scripts/verification/lib/scenarios/usability-browser-action-lane.mjs; artifacts/verification/2026-07-30T01-50-42-427Z-usability-browser-actions-b001a433","Record an explicit wait-enabled operation for Run all between Run selected and Run all. The clean exact replacement completed selected execution, enabled and completed Run all, saved review evidence, and finished the two-model benchmark without a worker flood."
GC-HARNESS-027,Expected-conflict API probe authentication,Harness authentication defect,Corrected locally; focused contracts passed; exact browser rerun pending,"The settings stale-revision probe expected 409 but sent its raw PATCH without operator credentials after onboarding correctly disabled loopback bypass, so authentication rejected it with 401 before revision validation; the project and note stale probes had the same latent dependency on bundle order","artifacts/verification/2026-07-30T00-34-17-216Z-usability-browser-actions-45aef55c/diagnostics/usability-browser-actions-settings-governance-runtime-integrations.json; apps/mission-control-next/src/features/native-routes/settings/sections/OnboardingSection.tsx; scripts/verification/lib/scenarios/usability-browser-action-lane.mjs","Keep expected 409 responses on raw requestJson so they are inspectable, but compose every project note and settings conflict request through the exported operator-auth options helper. The focused contract requires bearer injection and preservation of caller options and headers; browser-action node contracts passed 15/15; exact Chromium evidence remains required."
GC-HARNESS-028,Direct compatibility path coverage,Harness inventory and browser-proof omission,Corrected locally; focused manifest coverage and route-model tests passed,"The frozen 20-entry legacy compatibility manifest contains query-string inputs only, while the workbook incorrectly claimed that count also covered the literal /cowork /code and /settings/safety paths; route-model unit tests could pass without any Chromium or usability-inventory evidence for those direct inputs","scripts/verification/lib/release-surface-manifest.mjs; scripts/verification/lib/scenarios/surface-regression-lane.mjs; scripts/verification/lib/scenarios/usability-coverage.mjs; docs/qa_pre_qa_usability_2026-07-29/Journey Matrix.csv","Retain the 20 legacy query-input invariant, add a separately counted three-entry direct compatibility manifest, execute all three through the real surface-regression Chromium loop, and bind three required usability rows to their exact direct-path scenario identities. Focused Node coverage passed 12/12 and both route-model files passed 30/30; final Chromium and final-SHA gates remain required."
GC-HARNESS-029,Chat desktop edit and approval choreography,Harness gesture and evidence-order defect,Corrected locally; focused contracts passed; exact browser rerun pending,"The third focused Chromium wave proved that focusing the desktop turn did not expose an edit action because the product had dropped its callback, while the approval trace showed the Allow once POST response aborted with status -1 when the harness navigated to the next fixture immediately after clicking","artifacts/verification/2026-07-30T01-01-44-961Z-usability-browser-actions-28d97d34; scripts/verification/lib/scenarios/usability-browser-action-registry.mjs; scripts/verification/lib/scenarios/usability-browser-action-lane.mjs; GC-USAB-049; GC-USAB-050","Use the real desktop hover gesture on the exact owning turn, require the visible Approved once. success state before changing fixture sessions, and keep the product defects separate from harness timing. Browser-action and usability contracts passed 35/35; exact Chromium proof remains required."
GC-HARNESS-030,Mobile Chat virtual-keyboard fixture,Harness environment and gesture defect,Corrected locally; exact browser retest passed,"The first keyboard probe measured the seeded approval-blocked Chat while the scrubbed isolated root had no configured provider; the follow-up created a thread but neither waited for the mobile Sessions drawer to close nor proved a provider turn before programmatically focusing a control behind the modal, so neither failure isolated virtual-keyboard behavior","artifacts/verification/2026-07-30T01-13-56-536Z-accessibility-smoke-ddb17886; artifacts/verification/2026-07-30T01-16-56-126Z-accessibility-smoke-c3782316; scripts/verification/lib/scenarios/accessibility-smoke-lane.mjs; GC-USAB-051","Write the repository loopback provider into the isolated runtime before Gateway boot, submit Reply with exactly: KEYBOARD_OK, require the deterministic reply, wait for the drawer and blocker to be hidden, use a real composer click, settle two animation frames after the 390x500 resize, and assert retained focus plus bounded geometry. Harness tests passed 7/7 and the corrected Chromium lane passed 8/8 at artifacts/verification/2026-07-30T01-30-26-107Z-accessibility-smoke-e7b21008."
GC-HARNESS-031,Library Communications deterministic evidence,Harness false-green risk,Corrected locally; exact browser retest passed,"The original Communications action identity combined list agenda and draft behavior but its evidence owners proved only component rendering and approval creation; an empty uncredentialed dashboard could therefore satisfy adjacent tests without demonstrating useful visible content or the no-send boundary","apps/gateway/src/routes/communications.ts; apps/gateway/src/routes/communications.test.ts; scripts/verification/lib/scenarios/usability-browser-action-lane.mjs; artifacts/verification/2026-07-30T01-50-42-427Z-usability-browser-actions-b001a433","Split list/agenda from approval-gated draft, seed a disabled disconnected .invalid fixture only under private dev verification, prove provider adapters are untouched there and used when verification is disabled, require exact visible inbox and agenda content, require one exact pending mail-send approval, and require zero external side-effect runs. Gateway tests passed 3/3 and the final Library bundle passed 8/8."
GC-HARNESS-032,Library Prompt Pack journey depth,Harness false-green risk,Corrected locally; exact browser retest passed,"The prior Prompt Pack action could reuse a seeded pack and broad unit assertions, so it did not prove visible authoring or editing and did not separately bind selected/all execution or compare/review/export behavior","scripts/verification/lib/scenarios/usability-browser-action-registry.mjs; scripts/verification/lib/scenarios/usability-action-evidence.mjs; artifacts/verification/2026-07-30T01-50-42-427Z-usability-browser-actions-b001a433","Replace the single identity with author-edit, run-selected-and-all, and compare-review-export. The exact journey imports revised two-test markdown, runs selected then all, auto-scores and saves review notes, benchmarks two tests across two loopback models, inspects both comparison lanes, and exports a report."
GC-HARNESS-033,Disclosure-summary selector support,Harness selector defect,Corrected locally; exact browser retest passed,"The first authored Prompt Pack run visibly rendered Import a new pack but the generic interactive locator searched only role-bearing controls; the HTML summary disclosure has no matching role in that selector path and was reported missing","artifacts/verification/2026-07-30T01-40-56-572Z-usability-browser-actions-b2355df2; scripts/verification/lib/scenarios/usability-browser-action-lane.mjs; artifacts/verification/2026-07-30T01-50-42-427Z-usability-browser-actions-b001a433","Include visible summary elements in the shared interactive locator while retaining first-visible and exact-text behavior. The clean replacement Library run completed all eight steps."
GC-HARNESS-034,Expected note-conflict console health,Harness false-failure risk,Corrected locally; exact browser retest passed,"After all eight Library actions passed, lane finalization failed because the console-health filter acknowledged the intentional project stale-revision 409 but not the equivalent exact note stale-revision 409","artifacts/verification/2026-07-30T01-43-36-036Z-usability-browser-actions-42174092; scripts/verification/lib/scenarios/usability-browser-action-lane.mjs; scripts/verification/lib/scenarios/usability-browser-action-lane.test.mjs; artifacts/verification/2026-07-30T01-50-42-427Z-usability-browser-actions-b001a433","Acknowledge only 409 console entries backed by exact successful canonical note project or settings revision-conflict probes; retain unrelated 409 and all other errors. Combined browser/usability contracts passed 36/36 and the clean Library lane passed with console health green."
GC-HARNESS-035,Ops restart and backup recovery proof binding,Harness false-green and fixture defect,Corrected locally; exact isolated proof lanes passed,"The two Ops route rows could pass from Chromium entry-point navigation alone, standalone usability did not execute their named recovery owners, runtime-truth startup could briefly expose health while config generation reconciliation still blocked onboarding, and its seeded verification-stub provider had no matching loopback provider config, so the ledger could not prove actual restart/resume or backup restore behavior","scripts/verification/lib/scenarios/usability-browser-action-registry.mjs; scripts/verification/run.mjs; scripts/verification/lib/scenarios.mjs; scripts/verification/lib/scenarios/runtime-truth-lane.mjs; artifacts/verification/2026-07-30T01-53-00-789Z-runtime-truth-fdd182b2; artifacts/verification/2026-07-30T01-53-51-099Z-backup-roundtrip-a4651e0d","Require each route row to join its Chromium entry with the exact named recovery scenario, run both owners before standalone usability, retry only the exact transient config-generation conflict, and give runtime truth an owned loopback LLM fixture. Fresh proof observed distinct Gateway PIDs on the same endpoint, resumed and completed the same durable run, passed the canonical browser cross-check, and created, verified, offline-restored, restarted, and byte-compared the 19-file backup minimum set. Focused contracts passed 24/24."
GC-HARNESS-036,Capability disposition evidence,Harness false-green risk,Corrected locally; focused contracts passed; live catalog sweep pending,"The first capability-disposition implementation could treat a temporary permission grant or a successful access evaluation as proof even when the capability never executed, a skill never resolved activation, or a named side-effect journey had no exact passing binding. Catalog metadata fields needed for operator truth were also dropped from the proof projection","scripts/verification/lib/scenarios/usability-capability-dispositions.mjs; scripts/verification/lib/scenarios/usability-lane.mjs; scripts/verification/lib/scenarios/usability-lane.test.mjs","A grant alone can never pass. Execute and result-validate 16 safe deterministic tools; resolve every callable skill by exact skill ID and validate declared-tool closure; mechanically join side-effect tools to nonempty exact journey bindings; fail closed on catalog-only or unsupported dispositions; retain wrapperVisibility effectPotential declaredTools and requires. Focused usability contracts passed 24/24, but the isolated live 99-tool/14-skill sweep remains pending."
