Gate,Command or source,Required,Status,Final SHA,Artifact or blocker
Visual regression,pnpm verify:visual:regression,Yes,Focused affected-family and retained-failure passes; final full-SHA rerun pending,,"The first clean-SHA run reported 400 passed and 8 failed at artifacts/verification/2026-07-30T16-23-30-059Z-visual-regression-bdeb64ff. Independent review classified all eight dark Ops diffs as expected deterministic fixture/UI drift with no layout or browser defect and found the matching light baselines stale below threshold. After GC-USAB-067 fixed sub-cent precision and OpenAI casing, exactly 24 Notifications Costs and Kanban baselines were refreshed at artifacts/verification/2026-07-30T16-48-41-728Z-visual-rebaseline-36dca034 and the update-disabled focused rerun passed 24/24 at artifacts/verification/2026-07-30T16-50-16-896Z-visual-regression-3a9e9e91. The failed full root is diagnostic non-evidence because GC-HARNESS-066 found its retained traces archived verifier-source and API-response fixtures. The bounded one-scenario controlled failure retained a 3445103-byte replacement trace plus 57 non-truncated sanitized loopback network rows and passed exact-root redaction at artifacts/verification/2026-07-30T17-16-36-184Z-visual-regression-2a4b5ba0. The full 408-scenario final-SHA rerun remains required."
Accessibility,pnpm verify:accessibility:smoke,Yes,Pending,,Latest provider-backed mobile/keyboard/touch lane passed 8/8 at artifacts/verification/2026-07-30T01-30-26-107Z-accessibility-smoke-e7b21008 with KEYBOARD_OK retained focus bounded 390x500 geometry zero overflow zero undersized targets and zero axe violations; final-SHA rerun pending
Backup,pnpm verify:backup:roundtrip,Yes,Focused exact pass; final-SHA rerun pending,,GC-USAB-064 fixed the live config atomic-staging race without weakening canonical-file failure. BackupRetentionService tests pass 16/16 and fresh exact create verify offline restore restart and minimum-set byte proof passes 1/1 at artifacts/verification/2026-07-30T11-13-43-791Z-backup-roundtrip-5aa0f70d; final-SHA rerun required
Desktop,pnpm verify:desktop,Yes,Pending,,Interim isolated source-verifier pass: artifacts/verification/2026-07-29T20-10-40-358Z-desktop-76dccbb8 after GC-HARNESS-005. GC-USAB-019 ownership and GC-USAB-063 activation source proof pass with 62/62 Windows tests and a clean x64 Release build; exact packaged/native candidate UI proof remains pending
Managed launcher ownership,focused launcher status and launch regression plus packaged proof,Yes,Pending,,GC-USAB-019 local matrix/integration and live source proof passed: default foreign listeners were non-ready conflicts and launch failed before spawn; explicit overrides remained attachable. Exact repaired packaged candidate and final-SHA proof remain pending
External sources,pnpm verify:external-sources,Yes,Pending,,"Interim corrected pass: artifacts/verification/2026-07-29T20-36-15-963Z-external-sources-d55970e3; all nine checks, 4/4 browser combinations, 48/48 steps, lane-owned hermetic PostgreSQL"
Postgres parity and restart,repository named lanes,Yes,Exploratory unique-Compose pass; final-SHA rerun pending,,Migration parity passed; storage passed 48/48; admission/heartbeat passed 7/7; Gateway auth passed 73/73; Gateway memory passed 3/3; and artifacts/verification/2026-07-30T15-50-14-675Z-usability-postgres-recovery-3a1a4dae passed 9/9 same-database restart/no-replay/next-admission steps with storage=postgres and exactly 12 fault-target dispatches. Exact-root redaction and exact-project cleanup passed; final clean-SHA rerun remains required.
Live ChatGPT provider,disposable Sol journey plus Terra/Luna smokes,Yes,Pending,,Interim six-probe pass: artifacts/verification/2026-07-29T20-38-19-757Z-live-provider-preqa-05cca9b6; final affected-journey rerun required
Standard quality,GitHub security quality Standard queue,Yes,Pending,,Initial snapshot had three findings; post-push and final queue snapshots pending
AI quality,GitHub authenticated AI queue plus final rescan,Yes,Pending,,Initial snapshot had seven findings across five files; post-push triage and at least one additional final rescan pending
Code Quality,GitHub PR check,Yes,Pending,,No PR head yet
CodeQL,GitHub PR check,Yes,Pending,,No PR head yet
Secret leakage,exact in-process final artifact-root scan,Yes,Complete exploratory and controlled retained-failure exact-root scans passed; final-SHA pending,,"GC-HARNESS-056/062/065 bind the scan to final artifact bytes including compressed traces and the completed source proof. The 120/120 artifact passed its in-process gate and an independent exact-root scan; the PostgreSQL artifact also passed both scans. The historical visual root artifacts/verification/2026-07-30T16-23-30-059Z-visual-regression-bdeb64ff is diagnostic non-evidence under GC-HARNESS-066 because its eight retained traces produce 16 synthetic fixture matches. The bounded replacement failure retained a 3445103-byte trace and query-free loopback network metadata while its exact root passed redaction at artifacts/verification/2026-07-30T17-16-36-184Z-visual-regression-2a4b5ba0. GC-HARNESS-067 removes inherited provider channel database certificate and cookie secret variables from direct accessibility surface and visual stacks before adding deterministic fixtures. Raw JSON database password and connection-string patterns are covered. Final clean-SHA artifacts remain required."
Usability harness self-proof,pnpm verify:usability unit prefix,Yes,Three final-mode prefixes passed; strict exact-label locator regressions and full focused action proof passed; complete rerun pending,,"The named prefix passed before all three stopped final-mode runners. GC-HARNESS-069 covers exact Node 22 JUnit source ownership, GC-HARNESS-070 covers unique lazy Workspaces targeting, and GC-HARNESS-071 requires a full exact-label deadline, rejects duplicate/noneditable controls, forbids fuzzy/placeholder fallback, and returns no nth locator that could retarget. Pinned Node 22 harness tests pass 85/85; relevant Mission Control UI tests pass 45/45 with typecheck and formatting clean; independent review is clean; and artifacts/verification/preqa-focused-strict-editable-all-actions-r4 passes 10/10 scenarios and 74/74 actions with exact-root redaction green. The complete final-SHA execution remains pending."
Second clean-profile smoke,pnpm verify:usability core foundation,Yes,Exploratory pass; final-SHA rerun pending,,"Immediately after the no-new-P0-P2 120/120 campaign, the fresh-profile core smoke passed 1/1 with zero skipped degraded or not-configured rows at artifacts/verification/2026-07-30T15-29-30-881Z-usability-core-b5282435. Repeat at the final clean SHA."
Exact Windows installer hash,SHA-256 of verified x64 candidate,Yes,Pending,,Installer not built/verified at final SHA
Installed candidate version,Windows installed application metadata,Yes,Pending,,Exact candidate not installed/verified
Ready-to-merge PR,GitHub PR URL and head SHA,Yes,Pending,,Branch not yet committed/pushed; PR not opened
Usability disk capacity,pnpm verify:usability preflight,Yes,Focused contracts passed; final campaign pending,,GC-ENV-004 classifies the ENOSPC stop without attributing product failure. GC-HARNESS-054 requires and retains an 8 GiB repository/temp reserve before long direct-usability prerequisites; focused contracts pass 33/33.
Final-SHA source immutability,pnpm verify:usability and pnpm verify:all source guard,Yes,Focused contracts passed; final campaign pending,,"GC-HARNESS-057 snapshots before the first prerequisite, rejects drift before broad route journeys, and compares the same source state after review and exact-root redaction on successful and failed runs. The failed-run branch preserves the original lane error first and exposes only a sanitized secondary integrity category. Focused initial, prerequisite-change, completion-change, and failed-run aggregation contracts pass."
Live-provider source immutability,pnpm verify:usability:live-provider source-integrity scenario,Yes,Focused contracts passed; final live-provider rerun pending,,GC-HARNESS-058 retains started and completed source state and fails on a changed HEAD. Focused live-provider contracts pass 8/8; no final credentialed rerun is claimed.
