Route,Status,Surface,RequiredAction,ManualCaseIds,ReadyProbe,Notes,Result,Evidence,FollowUpIssue
"/library/artifacts","ship","Library","Reopen artifacts and linked provenance.","LIB-ART-01","Generated artifacts","Run/source/decision links.","","",""
"/library/prompt-packs","ship","Library","Author/export/benchmark/review prompt packs.","LIB-PP-01","prompt-pack layout","Quality workflows.","","",""
"/library/curator","experimental","Library","Review skill-health proposals only.","LIB-CURATOR-01","Skill Curator","Must be labeled experimental.","","",""
"/ops/activity","ship","Ops","Inspect retained operational events.","OPS-ACT-01","Activity feed","Realtime signal lane.","","",""
"/ops/sessions","ship","Ops","Inspect session timelines and evidence.","OPS-SES-01","Sessions","Derived projections with links.","","",""
"/ops/schedules","ship","Ops","Review scheduler posture and governed recurring work.","OPS-SCH-01","directory page","No no-agent cron overclaim.","","",""
"/ops/improvement","experimental","Ops","Inspect improvement loops as experimental support.","TRUTH-01","Improvement","Must be labeled experimental.","","",""
"/ops/notifications","ship","Ops","Review runtime issues and self-repair proposals.","OPS-NOTIF-01","Notification signals","Follow-up surface.","","",""
"/ops/approvals","ship","Ops","Review pending decisions, replay effects, history.","OPS-APP-01, CHAT-05","Approvals","Governance lane.","","",""
"/ops/costs","ship","Ops","Inspect spend visibility and cost evidence.","OPS-COST-01","Costs","Usage/cost trust.","","",""
"/ops/quality","ship","Ops","Inspect eval proof, prompt gates, read-only reports.","OPS-QUALITY-01","Quality Dashboard","Read-only evidence.","","",""
"/ops/runtime","ship","Ops","Inspect gateway health, daemon posture, host vitals, backups.","OPS-RUN-01, BK-01","Runtime","Runtime truth.","","",""
"/ops/diagnostics","ship","Ops","Inspect durable/daemon/admin/docs/readiness diagnostics.","OPS-DIAG-01","Diagnostics directory","High-signal diagnostics.","","",""
"/ops/kanban","experimental","Ops","Inspect multi-agent board posture only.","OPS-KANBAN-01","kanban board","Must be labeled experimental.","","",""
"/settings/general","ship","Settings","Configure base defaults.","SET-GEN-01","General","Base settings.","","",""
"/settings/onboarding","ship","Settings","Complete Start Here readiness.","SET-ONB-01","Start Here","First-run path.","","",""
"/settings/providers","ship","Settings","Configure credentials and run provider/model smoke.","SET-PROV-01","Providers","Provider truth.","","",""
"/settings/personalities","experimental","Settings","Adjust presets as experimental polish only.","SET-PERS-01","Personalities","Must be labeled experimental.","","",""
"/settings/access","ship","Settings","Inspect auth posture, secrets, access boundaries.","SET-ACC-01","Access","Auth/device trust.","","",""
"/settings/permissions","ship","Settings","Configure profiles and override evidence.","SET-PERM-01","Permission profiles","Deny-wins.","","",""
"/settings/trust-policy","ship","Settings","Inspect trust/policy matrix and jump links.","SET-TRUST-01","Trust & Policy snapshot","Dashboard-only fail-closed.","","",""
"/settings/budget","ship","Settings","Set budget mode and review cost evidence.","SET-BUD-01","Budget mode","Spend controls.","","",""
"/settings/runtime","ship","Settings","Configure runtime posture and labeled sidecars.","SET-RUN-01","Runtime posture","Runtime settings.","","",""
"/settings/local-ai","ship","Settings","Inspect hardware readiness and local model jobs.","SET-LAI-01","Hardware readiness","No full local inference overclaim.","","",""
"/settings/workspaces","ship","Settings","Configure workspace context/guidance.","SET-WORK-01","Workspaces","Scoped guidance.","","",""
"/settings/addons","experimental","Settings","Inspect add-on posture and staged evidence.","SET-ADD-01","Add-ons","Must be labeled experimental.","","",""
"/settings/integrations","ship","Settings","Review connector setup/action or blocked state.","SET-INT-01","Integrations","Connector parity.","","",""
"/settings/channels","ship","Settings","Run guided channel setup diagnostics.","SET-CHAN-01","Channels","Sandbox channels.","","",""
"/settings/mcp","ship","Settings","Configure local stdio and governed remote MCP.","SET-MCP-01","MCP","Auth and policy truth.","","",""
"/settings/tools","ship","Settings","Inspect tool catalog and scoped grants.","SET-TOOLS-01","Tool catalog","Tool grants.","","",""
